TIME,CHAN1
0.000172950,5.60e+00
0.000172955,5.60e+00
0.000172960,5.60e+00
0.000172965,5.60e+00
0.000172970,5.60e+00
0.000172975,5.60e+00
0.000172980,5.60e+00
0.000172985,5.60e+00
0.000172990,5.60e+00
0.000172995,5.60e+00
0.000173000,5.60e+00
0.000173005,5.60e+00
0.000173010,5.60e+00
0.000173015,5.60e+00
0.000173020,5.60e+00
0.000173025,5.60e+00
0.000173030,5.60e+00
0.000173035,5.60e+00
0.000173040,5.60e+00
0.000173045,5.60e+00
0.000173050,5.60e+00
0.000173055,5.60e+00
0.000173060,5.60e+00
0.000173065,5.60e+00
0.000173070,5.60e+00
0.000173075,5.60e+00
0.000173080,5.60e+00
0.000173085,5.40e+00
0.000173090,5.60e+00
0.000173095,5.40e+00
0.000173100,5.60e+00
0.000173105,5.60e+00
0.000173110,5.60e+00
0.000173115,5.60e+00
0.000173120,5.60e+00
0.000173125,5.60e+00
0.000173130,5.60e+00
0.000173135,5.60e+00
0.000173140,5.60e+00
0.000173145,5.60e+00
0.000173150,5.60e+00
0.000173155,5.60e+00
0.000173160,5.60e+00
0.000173165,5.60e+00
0.000173170,5.60e+00
0.000173175,5.60e+00
0.000173180,5.60e+00
0.000173185,5.60e+00
0.000173190,5.60e+00
0.000173195,5.60e+00
0.000173200,5.60e+00
0.000173205,5.60e+00
0.000173210,5.40e+00
0.000173215,5.60e+00
0.000173220,5.60e+00
0.000173225,5.40e+00
0.000173230,5.60e+00
0.000173235,5.40e+00
0.000173240,5.40e+00
0.000173245,5.60e+00
0.000173250,5.60e+00
0.000173255,5.60e+00
0.000173260,5.60e+00
0.000173265,5.60e+00
0.000173270,5.60e+00
0.000173275,5.60e+00
0.000173280,5.60e+00
0.000173285,5.60e+00
0.000173290,5.60e+00
0.000173295,5.60e+00
0.000173300,5.60e+00
0.000173305,5.60e+00
0.000173310,5.60e+00
0.000173315,5.60e+00
0.000173320,5.60e+00
0.000173325,5.60e+00
0.000173330,5.60e+00
0.000173335,5.40e+00
0.000173340,5.40e+00
0.000173345,5.60e+00
0.000173350,5.60e+00
0.000173355,5.40e+00
0.000173360,5.40e+00
0.000173365,5.60e+00
0.000173370,5.40e+00
0.000173375,5.60e+00
0.000173380,5.40e+00
0.000173385,5.60e+00
0.000173390,5.60e+00
0.000173395,5.40e+00
0.000173400,5.40e+00
0.000173405,5.60e+00
0.000173410,5.40e+00
0.000173415,5.60e+00
0.000173420,5.40e+00
0.000173425,5.60e+00
0.000173430,5.60e+00
0.000173435,5.40e+00
0.000173440,5.60e+00
0.000173445,5.60e+00
0.000173450,5.40e+00
0.000173455,5.60e+00
0.000173460,5.40e+00
0.000173465,5.60e+00
0.000173470,5.60e+00
0.000173475,5.40e+00
0.000173480,5.40e+00
0.000173485,5.40e+00
0.000173490,5.40e+00
0.000173495,5.40e+00
0.000173500,5.40e+00
0.000173505,5.40e+00
0.000173510,5.40e+00
0.000173515,5.20e+00
0.000173520,5.40e+00
0.000173525,5.40e+00
0.000173530,5.40e+00
0.000173535,5.40e+00
0.000173540,5.40e+00
0.000173545,5.40e+00
0.000173550,5.60e+00
0.000173555,5.40e+00
0.000173560,5.60e+00
0.000173565,5.60e+00
0.000173570,5.60e+00
0.000173575,5.60e+00
0.000173580,5.60e+00
0.000173585,5.60e+00
0.000173590,5.60e+00
0.000173595,5.60e+00
0.000173600,5.60e+00
0.000173605,5.40e+00
0.000173610,5.40e+00
0.000173615,5.40e+00
0.000173620,5.40e+00
0.000173625,5.40e+00
0.000173630,5.40e+00
0.000173635,5.40e+00
0.000173640,5.40e+00
0.000173645,5.40e+00
0.000173650,5.40e+00
0.000173655,5.40e+00
0.000173660,5.40e+00
0.000173665,5.40e+00
0.000173670,5.40e+00
0.000173675,5.40e+00
0.000173680,5.40e+00
0.000173685,5.40e+00
0.000173690,5.40e+00
0.000173695,5.40e+00
0.000173700,5.40e+00
0.000173705,5.60e+00
0.000173710,5.60e+00
0.000173715,5.40e+00
0.000173720,5.40e+00
0.000173725,5.60e+00
0.000173730,5.40e+00
0.000173735,5.60e+00
0.000173740,5.40e+00
0.000173745,5.40e+00
0.000173750,5.40e+00
0.000173755,5.40e+00
0.000173760,5.40e+00
0.000173765,5.40e+00
0.000173770,5.40e+00
0.000173775,3.20e+00
0.000173780,2.20e+00
0.000173785,1.20e+00
0.000173790,1.60e+00
0.000173795,2.20e+00
0.000173800,2.20e+00
0.000173805,2.80e+00
0.000173810,2.80e+00
0.000173815,3.20e+00
